Date,Open,High,Low,Close,Adj Close,Volume
2016-05-25,8.800000,9.030000,8.660000,8.810000,8.810000,155300
2016-05-26,8.800000,8.890000,8.510000,8.730000,8.730000,227300
2016-05-27,8.750000,8.820000,8.520000,8.760000,8.760000,147500
2016-05-31,8.750000,8.820000,8.610000,8.800000,8.800000,234100
2016-06-01,8.760000,8.810000,8.670000,8.800000,8.800000,270700
2016-06-02,8.780000,8.920000,8.710000,8.900000,8.900000,221400
2016-06-03,8.880000,8.950000,8.750000,8.850000,8.850000,247500
2016-06-06,8.890000,8.890000,8.770000,8.810000,8.810000,272600
2016-06-07,8.830000,8.940000,8.780000,8.860000,8.860000,186700
2016-06-08,8.890000,8.970000,8.810000,8.920000,8.920000,120000
2016-06-09,8.940000,8.940000,8.680000,8.860000,8.860000,227800
2016-06-10,8.840000,8.840000,8.300000,8.390000,8.390000,528100
2016-06-13,8.420000,8.460000,8.000000,8.010000,8.010000,313600
2016-06-14,7.950000,8.070000,7.620000,7.820000,7.820000,330000
2016-06-15,7.860000,7.890000,7.660000,7.780000,7.780000,238600
2016-06-16,7.720000,7.740000,7.480000,7.580000,7.580000,370200
2016-06-17,7.550000,7.620000,7.360000,7.410000,7.410000,854600
2016-06-20,7.520000,7.680000,7.420000,7.510000,7.510000,355200
2016-06-21,7.540000,7.620000,7.350000,7.570000,7.570000,353300
2016-06-22,7.570000,7.800000,7.420000,7.480000,7.480000,215200
2016-06-23,7.560000,7.690000,7.470000,7.530000,7.530000,186800
2016-06-24,7.330000,7.420000,7.050000,7.100000,7.100000,501900
