Date,Open,High,Low,Close,Adj Close,Volume
2016-05-25,7.490000,8.360000,7.480000,7.930000,7.930000,919200
2016-05-26,7.890000,8.310000,7.555000,7.600000,7.600000,377700
2016-05-27,7.620000,7.880000,7.600000,7.740000,7.740000,203600
2016-05-31,7.770000,7.830000,7.535000,7.610000,7.610000,463100
2016-06-01,7.610000,7.890000,7.580000,7.810000,7.810000,220500
2016-06-02,7.750000,8.190000,7.720000,8.090000,8.090000,317100
2016-06-03,8.200000,8.249000,7.890000,8.030000,8.030000,168900
2016-06-06,8.000000,8.410000,7.880000,8.390000,8.390000,269500
2016-06-07,8.290000,8.580000,8.270000,8.430000,8.430000,301400
2016-06-08,8.530000,8.630000,8.420000,8.490000,8.490000,218300
2016-06-09,8.370000,8.740000,8.205000,8.680000,8.680000,450200
2016-06-10,8.620000,8.720000,7.790000,8.010000,8.010000,579800
2016-06-13,7.980000,8.040000,7.720000,7.750000,7.750000,235400
2016-06-14,7.720000,7.890000,7.520000,7.670000,7.670000,170600
2016-06-15,7.830000,8.270000,7.800000,7.870000,7.870000,273200
2016-06-16,7.860000,7.950000,7.420000,7.660000,7.660000,412500
2016-06-17,7.680000,7.950000,7.650000,7.920000,7.920000,373000
2016-06-20,8.030000,8.500000,8.030000,8.400000,8.400000,181600
2016-06-21,8.330000,8.450000,8.050000,8.170000,8.170000,218800
2016-06-22,8.200000,8.420000,8.076000,8.130000,8.130000,217200
2016-06-23,8.250000,8.510000,8.170000,8.490000,8.490000,225600
2016-06-24,8.000000,8.440000,7.950000,8.270000,8.270000,886400
