Date,Open,High,Low,Close,Adj Close,Volume
2016-05-25,4.950000,4.980000,4.800000,4.940000,4.940000,622300
2016-05-26,5.080000,5.120000,4.850000,4.930000,4.930000,397100
2016-05-27,4.970000,5.070000,4.880000,4.980000,4.980000,415200
2016-05-31,4.900000,5.240000,4.880000,5.170000,5.170000,741100
2016-06-01,5.130000,5.160000,4.920000,5.010000,5.010000,449500
2016-06-02,5.000000,5.310000,4.990000,5.250000,5.250000,845600
2016-06-03,5.220000,5.230000,4.950000,5.040000,5.040000,413000
2016-06-06,5.060000,5.280000,5.010000,5.190000,5.190000,506300
2016-06-07,5.280000,5.280000,5.100000,5.130000,5.130000,315800
2016-06-08,5.140000,5.160000,5.007000,5.120000,5.120000,232400
2016-06-09,5.100000,5.120000,4.810000,5.050000,5.050000,531500
2016-06-10,5.000000,5.150000,5.000000,5.110000,5.110000,620300
2016-06-13,5.020000,5.170000,4.770000,4.930000,4.930000,928000
2016-06-14,4.870000,5.070000,4.840000,4.920000,4.920000,591200
2016-06-15,4.920000,5.140000,4.830000,4.990000,4.990000,403300
2016-06-16,4.950000,5.110000,4.850000,5.100000,5.100000,529800
2016-06-17,5.110000,5.250000,5.040000,5.100000,5.100000,810800
2016-06-20,5.190000,5.500000,5.160000,5.470000,5.470000,976400
2016-06-21,5.490000,5.490000,5.280000,5.420000,5.420000,689000
2016-06-22,5.440000,5.590000,5.240000,5.310000,5.310000,565900
2016-06-23,5.390000,5.590000,5.360000,5.470000,5.470000,539400
2016-06-24,5.120000,5.400000,5.050000,5.200000,5.200000,4006600
