Date,Open,High,Low,Close,Adj Close,Volume
2016-05-25,5.140000,5.330000,5.130000,5.290000,5.290000,302700
2016-05-26,5.290000,5.290000,5.120000,5.150000,5.150000,100400
2016-05-27,5.150000,5.290000,5.110000,5.260000,5.260000,123300
2016-05-31,5.240000,5.270000,5.151000,5.210000,5.210000,119900
2016-06-01,5.210000,5.270000,5.140000,5.230000,5.230000,107300
2016-06-02,5.140000,5.460000,5.135000,5.450000,5.450000,240800
2016-06-03,5.410000,5.460000,5.170000,5.260000,5.260000,114500
2016-06-06,5.260000,5.460000,5.220000,5.340000,5.340000,95300
2016-06-07,5.350000,5.428000,5.300000,5.360000,5.360000,64600
2016-06-08,5.360000,5.490000,5.310000,5.400000,5.400000,128600
2016-06-09,5.360000,5.470000,5.310000,5.430000,5.430000,83000
2016-06-10,5.340000,5.440000,5.260000,5.290000,5.290000,143600
2016-06-13,5.270000,5.330000,5.120000,5.150000,5.150000,97200
2016-06-14,5.140000,5.260000,5.040000,5.080000,5.080000,168900
2016-06-15,5.130000,5.330000,5.060000,5.250000,5.250000,156100
2016-06-16,5.180000,5.190000,5.100000,5.150000,5.150000,66400
2016-06-17,5.140000,5.220000,4.975000,5.070000,5.070000,295800
2016-06-20,5.120000,5.250000,5.080000,5.230000,5.230000,154900
2016-06-21,5.240000,5.340000,5.173000,5.290000,5.290000,127500
2016-06-22,5.270000,5.550000,5.250000,5.270000,5.270000,180700
2016-06-23,5.360000,5.480000,5.310000,5.380000,5.380000,113000
2016-06-24,5.050000,5.235000,5.040000,5.160000,5.160000,506800
