Date,Open,High,Low,Close,Adj Close,Volume
2016-05-25,5.170000,5.650000,5.060000,5.620000,5.620000,277100
2016-05-26,5.650000,5.700000,5.420000,5.450000,5.450000,92000
2016-05-27,5.430000,5.530000,5.370000,5.430000,5.430000,103500
2016-05-31,5.500000,5.550000,5.360000,5.430000,5.430000,123800
2016-06-01,5.400000,5.520000,5.210000,5.450000,5.450000,129500
2016-06-02,5.450000,5.630000,5.370000,5.620000,5.620000,110800
2016-06-03,5.610000,5.760000,5.590000,5.700000,5.700000,99700
2016-06-06,5.710000,5.950000,5.660000,5.910000,5.910000,135200
2016-06-07,5.970000,6.000000,5.810000,5.910000,5.910000,108300
2016-06-08,5.990000,6.000000,5.800000,5.840000,5.840000,89300
2016-06-09,5.820000,5.830000,5.440000,5.490000,5.490000,139900
2016-06-10,5.530000,5.620000,5.260000,5.360000,5.360000,121300
2016-06-13,5.390000,6.060000,5.340000,5.900000,5.900000,234000
2016-06-14,5.940000,5.940000,5.520000,5.590000,5.590000,92600
2016-06-15,5.630000,5.820000,5.550000,5.620000,5.620000,142900
2016-06-16,5.610000,5.610000,5.450000,5.570000,5.570000,92700
2016-06-17,5.530000,5.550000,5.420000,5.460000,5.460000,203000
2016-06-20,5.500000,5.610000,5.460000,5.600000,5.600000,180000
2016-06-21,5.600000,5.600000,5.320000,5.410000,5.410000,64400
2016-06-22,5.410000,5.440000,5.250000,5.260000,5.260000,69100
2016-06-23,5.260000,5.620000,5.260000,5.620000,5.620000,130100
2016-06-24,5.490000,5.580000,5.290000,5.540000,5.540000,274500
